epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
168,5317.26,0.51922,0.49255,1.06385,0.95449,0.98087,0.9926,0.78794,0.56,0.36028,1.14313,0.0004489,0.0004489,0.0004489
169,5349.4,0.5244,0.49509,1.06679,0.96869,0.98563,0.99342,0.79198,0.55156,0.32294,1.13952,0.0004456,0.0004456,0.0004456
170,5380.22,0.49121,0.45332,1.05341,0.94922,0.98611,0.98808,0.82464,0.52562,0.33066,1.14425,0.0004423,0.0004423,0.0004423
171,5412.34,0.4629,0.47306,1.03461,0.94329,0.98611,0.99115,0.83814,0.52203,0.30394,1.11538,0.000439,0.000439,0.000439
172,5443.19,0.52812,0.48223,1.0799,0.99759,0.97426,0.99473,0.82563,0.51527,0.3181,1.09157,0.0004357,0.0004357,0.0004357
173,5475.42,0.53309,0.48152,1.07909,0.96955,0.9939,0.99017,0.82636,0.53826,0.32301,1.14298,0.0004324,0.0004324,0.0004324
174,5506.18,0.50445,0.48152,1.07182,0.99352,0.98999,0.995,0.81332,0.52641,0.3101,1.11479,0.0004291,0.0004291,0.0004291
175,5538.3,0.49458,0.47014,1.05103,0.92668,0.95595,0.96196,0.8145,0.50331,0.3671,1.06142,0.0004258,0.0004258,0.0004258
176,5569.14,0.47825,0.4666,1.05429,0.86064,0.97222,0.95744,0.79143,0.54452,0.39958,1.11305,0.0004225,0.0004225,0.0004225
177,5601.23,0.50353,0.45553,1.06125,0.96074,0.96113,0.98099,0.80676,0.51352,0.34909,1.09221,0.0004192,0.0004192,0.0004192
178,5632.07,0.5236,0.48321,1.05899,0.98862,0.97881,0.99447,0.83981,0.51053,0.29532,1.07937,0.0004159,0.0004159,0.0004159
179,5664.2,0.52153,0.49578,1.07358,0.94709,0.93056,0.98239,0.82952,0.50922,0.36141,1.06421,0.0004126,0.0004126,0.0004126
180,5695.02,0.46987,0.45773,1.03432,0.92368,0.98611,0.9869,0.82081,0.53182,0.38338,1.10016,0.0004093,0.0004093,0.0004093
181,5727.19,0.50103,0.49463,1.05678,0.93899,0.98772,0.9874,0.8179,0.53006,0.34976,1.1187,0.000406,0.000406,0.000406
